classifier,In taxon,Group,ratio,dataset
rspc_R10,5849023,U,0.041567430649680256,marine
rspc_R1,603203,C,0.004286801209394984,marine
rspc_R1,112618,D,0.0008003457850833704,marine
rspc_R1,1419244,F,0.010086184743157072,marine
rspc_R1,35267491,G,0.2506365569652782,marine
rspc_R1,50,K,3.5533652927745587e-07,marine
rspc_R1,166808,O,0.0011854595155142771,marine
rspc_R1,72242,P,0.0005134044309612393,marine
rspc_R1,18153,R,0.00012900848031947311,marine
rspc_R1,97366604,S,0.691958222657849,marine
rspc_R1,5685267,U,0.04040366087591307,marine
rspc_1-step,940793,C,0.00668596238777051,marine
rspc_1-step,455103,D,0.00323429440967516,marine
rspc_1-step,2146780,F,0.015256587086445134,marine
rspc_1-step,38192460,G,0.27142352361936123,marine
rspc_1-step,5608,K,3.985454512375945e-05,marine
rspc_1-step,395361,O,0.0028097241110332846,marine
rspc_1-step,263750,P,0.0018744001919385796,marine
rspc_1-step,277675,R,0.001973361415342351,marine
rspc_1-step,92750116,S,0.6591500861904286,marine
rspc_1-step,5284034,U,0.037552206042881446,marine
std_gold,284542,C,0.002022163334273317,marine
std_gold,38939,D,0.0002767289822706971,marine
std_gold,185412,F,0.0013176731313278328,marine
std_gold,2204582,G,0.015667370327751045,marine
std_gold,66142,O,0.0004700533743893897,marine
std_gold,25415,P,0.0001806175578317308,marine
std_gold,1121,R,7.96664498640056e-06,marine
std_gold,121731339,S,0.8651118300911481,marine
std_gold,16174188,U,0.1149455965560215,marine
std_R100,377981,C,0.002686209133456441,marine
std_R100,38768,D,0.0002755137313405682,marine
std_R100,877334,F,0.006234976371542149,marine
std_R100,9593541,G,0.06817871124841947,marine
std_R100,0,K,0.0,marine
std_R100,70030,O,0.0004976843429060047,marine
std_R100,35594,P,0.00025295696846203527,marine
std_R100,6637,R,4.716737089628949e-05,marine
std_R100,118552607,S,0.8425214381634843,marine
std_R100,11159188,U,0.07930534266949268,marine
std_R10,428041,C,0.00304197206656903,marine
std_R10,56837,D,0.0004039252462908552,marine
std_R10,946242,F,0.006724686962731168,marine
std_R10,13019968,G,0.09252940480847077,marine
std_R10,0,K,0.0,marine
std_R10,81715,O,0.0005807264897981461,marine
std_R10,43098,P,0.00030628587477599583,marine
std_R10,7404,R,5.261823325540566e-05,marine
std_R10,115070945,S,0.8177782043395403,marine
std_R10,11057430,U,0.07858217597856837,marine
std_R1,465902,C,0.0033110399932685048,marine
std_R1,67203,D,0.0004775936155406573,marine
std_R1,998199,F,0.007093931363764543,marine
std_R1,14507282,G,0.10309934470258617,marine
std_R1,0,K,0.0,marine
std_R1,98597,O,0.0007007023155433863,marine
std_R1,48143,P,0.00034213933058009117,marine
std_R1,9169,R,6.516161273889986e-05,marine
std_R1,113539920,S,0.8068976221447999,marine
std_R1,10977265,U,0.07801246492117783,marine
